titulo,artistas,album,url
Busca Otro Amor,Antonio Aguilar,Mi Mexico Querido: Antonio Aguilar,https://music.youtube.com/watch?v=zTwBR2VJIt8
El Cantador,Antonio Aguilar,Mi Mexico Querido: Antonio Aguilar,https://music.youtube.com/watch?v=7NSQkThb-yI
Pero Hombre Amigo (El Chubasco),Antonio Aguilar,Mi Mexico Querido: Antonio Aguilar,https://music.youtube.com/watch?v=YFIPIevABEA
Por Esa Calle Vive,Antonio Aguilar,Mi Mexico Querido: Antonio Aguilar,https://music.youtube.com/watch?v=Lo8aKq1Djpg
Cuatro Milpas,Antonio Aguilar,Mi Mexico Querido: Antonio Aguilar,https://music.youtube.com/watch?v=JuNBqZoLrlU
Por Una Mujer Casada,Antonio Aguilar,Mi Mexico Querido: Antonio Aguilar,https://music.youtube.com/watch?v=wycYvJWGNwg
Que Se Te Quite Ese Orgullo (4 Meses),Antonio Aguilar,Mi Mexico Querido: Antonio Aguilar,https://music.youtube.com/watch?v=gi4A1j_WeKw
El Adolorido (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=HQw_KjedJ88
Hay un Lirio (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=TXc81qsPv78
Antes Que Salga el Lucero (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=eo6_XJNzgH4
Albur de Amor (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=HptYn5TR9c8
El Siete de Copas (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=n8i_w2NaYkM
Yo Ya Me Voy de Mi Tierra (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=gXbcoTpy8cc
El Tímido (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=OHuFo-3Citg
