titulo,artistas,album,url
Nothing Fits Anymore,ARM,Nothing Fits Anymore,https://music.youtube.com/watch?v=k05gEVw9BtA
I Like Being Alone,ARM,I Like Being Alone,https://music.youtube.com/watch?v=CRh6HrO55Vw
A Sip Before the Scream,ARM,A Sip Before the Scream,https://music.youtube.com/watch?v=VzfvZtn-ix4
Meta-deconstrucció d'un cos nació-fluxional amb culpa,ARM,Meta-deconstrucció d'un cos nació-fluxional amb culpa,https://music.youtube.com/watch?v=HZmfB-whiAA
Pro Libertate Cataloniae,ARM,Pro Libertate Cataloniae,https://music.youtube.com/watch?v=rh0P75seKgM
You're Still Here,ARM,You're Still Here,https://music.youtube.com/watch?v=HuDp2xDd5sI
Sleep Paralysis,ARM,Sleep Paralysis,https://music.youtube.com/watch?v=8MvFcTRCP2U
Amna Padma,ARM,Amna Padma,https://music.youtube.com/watch?v=RzNphD0dLOE
Triangle,ARM,Triangle,https://music.youtube.com/watch?v=Raj4ajVTu90
