titulo,artistas,album,url
"Blew (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=q8pf5WaKyd4
"Feedback Jam (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=PUCetgSfqXk
"Radio Friendly Unit Shifter (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=_RqDfa_oxYM
"Drain You (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=8fwKLm6htCI
"Breed (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=6JrJYj86qSk
"Serve The Servants (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=hk7RbWt9wd0
"Come As You Are (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=LS8ewmf21IE
"Smells Like Teen Spirit (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=VePUVtRZ8B8
"Sliver (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=rNWUdxpKA4U
"Dumb (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=CDswgP90Cjc
"In Bloom (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=mk8upzu6JdA
"About A Girl (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=X6zB456e3U4
"Lithium (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=3Qdjo0h5NPs
"Pennyroyal Tea (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=4g08Hl-tYy0
"School (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=fvCyO5aUZ7w
"Polly (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=dWsrgB4eTrk
"Frances Farmer Will Have Her Revenge On Seattle (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=_-OiPucW6_U
"Milk It (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=e7MHrlnIbK4
"Rape Me (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=O8JawL7P0kY
"Territorial Pissings (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=2fZfHD4qO5Y
"Jesus Doesn't Want Me For A Sunbeam (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=_BWol6FuOwk
"The Man Who Sold The World (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=WBxLdqe_hq0
"All Apologies (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=57Zp-T1ekB0
"On A Plain (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=HyvO9-cB9Yw
"Scentless Apprentice (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=q6aQ7QDx8A0
"Heart-Shaped Box (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=05VLiqBXNYg
"Blew (Live In Seattle, Seattle Center Arena - January 7, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=uld6yGTbUdw
"Serve The Servants (Live In Rome, Palaghiaccio Di Marino - February 22, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=DXyfTzIHyQY
"Scentless Apprentice (Live In Rome, Palaghiaccio Di Marino - February 22, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=AFO4TLwi-Ww
"Heart-Shaped Box (Live In Rome, Palaghiaccio Di Marino - February 22, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=tx9mOc4cjgM
"Very Ape (Live In Rome, Palaghiaccio Di Marino - February 22, 1994)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=OF2i9GM7184
"Milk It (Live In Springfield, Springfield Civic Center - November 10, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=ZH3DRyP_Sk8
"tourette's (Live In New York, Roseland Ballroom - July 23, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=eCmsC7j-ftQ
Downer (Live),Nirvana,Downer,https://music.youtube.com/watch?v=46Km5j-e6g0
Breed (Live),Nirvana,Downer,https://music.youtube.com/watch?v=RNL_pdmLzw8
Anorexorcist (Live),Nirvana,Downer,https://music.youtube.com/watch?v=rgegtBWIHpU
School (Live),Nirvana,Downer,https://music.youtube.com/watch?v=ULDcPIbM6NY
Aneurysm (Live),Nirvana,Downer,https://music.youtube.com/watch?v=yQ7vOtFyTGM
Lithium (Live),Nirvana,Downer,https://music.youtube.com/watch?v=jfr6BSWgMmo
Love Buzz (Live),Nirvana,Downer,https://music.youtube.com/watch?v=BLG-czH9rdk
Spank Thru (Live),Nirvana,Downer,https://music.youtube.com/watch?v=_dEPLaZWigI
Drain You (Live),Nirvana,Downer,https://music.youtube.com/watch?v=tMsSqIR5yfg
Aneurysm (Live 1992),Nirvana,Choice Is Yours,https://music.youtube.com/watch?v=6v_KSVcUk7I
Breed (Live 1992),Nirvana,Choice Is Yours,https://music.youtube.com/watch?v=C1AbeJ5paIE
Drain You (Live 1992),Nirvana,Choice Is Yours,https://music.youtube.com/watch?v=F4yRidRLuAw
Beeswax (Live 1992),Nirvana,Choice Is Yours,https://music.youtube.com/watch?v=vTNVwjpu1kg
Spank Thru (Live 1992),Nirvana,Choice Is Yours,https://music.youtube.com/watch?v=zDQBNBRS2jM
